ts_code,symbol,name,area,industry,cnspell,market,list_date,act_name,act_ent_type
002903.SZ,002903,宇环数控,湖南,机床制造,YHSK,主板,20171013,许世雄,民营企业
002899.SZ,002899,英派斯,山东,文教休闲,YPS,主板,20170915,丁利荣,民营企业
603214.SH,603214,爱婴室,上海,百货,AYS,主板,20180330,施琼,民营企业
002896.SZ,002896,中大力德,浙江,机械基件,ZDLD,主板,20170829,岑国建,民营企业
603507.SH,603507,振江股份,江苏,电气设备,ZJGF,主板,20171106,胡震,民营企业
603392.SH,603392,万泰生物,北京,生物制药,WTSW,主板,20200429,钟睒睒,民营企业
300720.SZ,300720,海川智能,广东,电器仪表,HCZN,创业板,20171106,邓永议,民营企业
300696.SZ,300696,爱乐达,四川,航空,ALD,创业板,20170822,冉光文,民营企业
300697.SZ,300697,电工合金,江苏,铜,DGHJ,创业板,20170907,厦门市人民政府国有资产监督管理委员会,地方国有企业
301333.SZ,301333,诺思格,北京,医疗保健,NSG,创业板,20220802,WU JIE,外资
300717.SZ,300717,华信新材,江苏,塑料,HXXC,创业板,20171106,李振斌,民营企业
300713.SZ,300713,英可瑞,深圳,电气设备,YKR,创业板,20171101,尹伟,民营企业
300692.SZ,300692,中赋科技,安徽,环境保护,ZFKJ,创业板,20170821,刘杨,民营企业
300743.SZ,300743,天地数码,浙江,IT设备,TDSM,创业板,20180427,韩琼,民营企业
300949.SZ,300949,奥雅股份,深圳,建筑工程,AYGF,创业板,20210226,李宝章,民营企业
300878.SZ,300878,维康药业,浙江,中成药,WKYY,创业板,20200824,刘忠良,民营企业
301026.SZ,301026,浩通科技,江苏,小金属,HTKJ,创业板,20210716,夏军,民营企业
300709.SZ,300709,精研科技,江苏,元器件,JYKJ,创业板,20171019,王明喜,民营企业
300730.SZ,300730,科创信息,湖南,软件服务,KCXX,创业板,20171205,无实际控制人,其他
603893.SH,603893,瑞芯微,福建,半导体,RXW,主板,20200207,励民,民营企业
605006.SH,605006,山东玻纤,山东,玻璃,SDBX,主板,20200903,山东省人民政府国有资产监督管理委员会,地方国有企业
600968.SH,600968,海油发展,北京,石油开采,HYFZ,主板,20190626,中国海洋石油集团有限公司,中央企业
300886.SZ,300886,华业香料,安徽,化工原料,HYXL,创业板,20200916,华文亮,民营企业
603655.SH,603655,朗博科技,江苏,汽车配件,LBKJ,主板,20171229,戚建国,民营企业
002908.SZ,002908,德生科技,广东,软件服务,DSKJ,主板,20171020,虢晓彬,民营企业
603829.SH,603829,洛凯股份,江苏,电气设备,LKGF,主板,20171017,谈行,民营企业
603466.SH,603466,风语筑,上海,文教休闲,FYZ,主板,20171020,李晖,民营企业
002912.SZ,002912,中新赛克,深圳,IT设备,ZXSK,主板,20171121,深圳市人民政府国有资产监督管理委员会,地方国有企业
603506.SH,603506,南都物业,浙江,房产服务,NDWY,主板,20180201,韩芳,民营企业
001227.SZ,001227,兰州银行,甘肃,银行,LZYH,主板,20220117,无实际控制人,其他
002907.SZ,002907,华森制药,重庆,中成药,HSZY,主板,20171020,游洪涛,民营企业
002922.SZ,002922,伊戈尔,广东,电气设备,YGE,主板,20171229,肖俊承,民营企业
300702.SZ,300702,天宇股份,浙江,化学制药,TYGF,创业板,20170919,屠勇军,民营企业
603895.SH,603895,天永智能,上海,专用机械,TYZN,主板,20180122,荣俊林,民营企业
605136.SH,605136,丽人丽妆,上海,其他商业,LRLZ,主板,20200929,黄韬,民营企业
603912.SH,603912,佳力图,江苏,专用机械,JLT,主板,20171101,何根林,民营企业
002999.SZ,002999,天禾股份,广东,批发业,THGF,主板,20200903,广东省供销合作联社,地方国有企业
300769.SZ,300769,德方纳米,深圳,化工原料,DFNM,创业板,20190415,无实际控制人,其他
002915.SZ,002915,中欣氟材,浙江,化工原料,ZXFC,主板,20171205,徐建国,民营企业
002939.SZ,002939,长城证券,深圳,证券,CCZQ,主板,20181026,中国华能集团有限公司,中央企业
300719.SZ,300719,安达维尔,北京,航空,ADWE,创业板,20171109,赵子安,民营企业
002913.SZ,002913,奥士康,湖南,元器件,ASK,主板,20171201,程涌,民营企业
002925.SZ,002925,盈趣科技,福建,元器件,YQKJ,主板,20180115,吴凯庭,外资
002945.SZ,002945,华林证券,西藏,证券,HLZQ,主板,20190117,林立,民营企业
603848.SH,603848,好太太,广东,家居用品,HTT,主板,20171201,沈汉标,民营企业
300726.SZ,300726,宏达电子,湖南,元器件,HDDZ,创业板,20171121,曾琛,民营企业
300707.SZ,300707,威唐工业,江苏,汽车配件,WTGY,创业板,20171010,张锡亮,民营企业
300827.SZ,300827,上能电气,江苏,电气设备,SNDQ,创业板,20200410,吴强,民营企业
002958.SZ,002958,青农商行,山东,银行,QNSH,主板,20190326,无实际控制人,其他
300777.SZ,300777,中简科技,江苏,化纤,ZJKJ,创业板,20190516,无实际控制人,其他
603607.SH,603607,京华激光,浙江,造纸,JHJG,主板,20171025,孙建成,民营企业
601528.SH,601528,瑞丰银行,浙江,银行,RFYH,主板,20210625,无实际控制人,其他
603685.SH,603685,晨丰科技,浙江,电气设备,CFKJ,主板,20171127,丁闵,民营企业
603661.SH,603661,恒林股份,浙江,家居用品,HLGF,主板,20171121,王江林,民营企业
603356.SH,603356,华菱精工,安徽,运输设备,HLJG,主板,20180124,黄业华,民营企业
603676.SH,603676,卫信康,西藏,化学制药,WXK,主板,20170721,张勇,民营企业
002966.SZ,002966,苏州银行,江苏,银行,SZYH,主板,20190802,苏州市财政局,地方国有企业
300674.SZ,300674,宇信科技,北京,软件服务,YXKJ,创业板,20181107,洪卫东,民营企业
601860.SH,601860,紫金银行,江苏,银行,ZJYH,主板,20190103,无实际控制人,其他
002910.SZ,002910,庄园牧场,甘肃,乳制品,ZYMC,主板,20171031,甘肃省人民政府国有资产监督管理委员会,地方国有企业
300607.SZ,300607,拓斯达,广东,专用机械,TSD,创业板,20170209,吴丰礼,民营企业
603578.SH,603578,三星新材,浙江,家用电器,SXXC,主板,20170306,金银山,民营企业
002948.SZ,002948,青岛银行,山东,银行,QDYH,主板,20190116,无实际控制人,其他
603278.SH,603278,大业股份,山东,钢加工,DYGF,主板,20171113,窦勇,民营企业
600903.SH,600903,贵州燃气,贵州,供气供热,GZRQ,主板,20171107,贵州省人民政府国有资产监督管理委员会,地方国有企业
301017.SZ,301017,漱玉平民,山东,医药商业,SYPM,创业板,20210705,李文杰,民营企业
300710.SZ,300710,万隆光电,浙江,通信设备,WLGD,创业板,20171019,付小铜,民营企业
300943.SZ,300943,春晖智控,浙江,机械基件,CHZK,创业板,20210210,杨广宇,民营企业
300731.SZ,300731,科创新源,深圳,橡胶,KCXY,创业板,20171208,周东,民营企业
300727.SZ,300727,润禾材料,浙江,化工原料,RHCL,创业板,20171127,叶剑平,民营企业
300711.SZ,300711,广哈通信,广东,通信设备,GHTX,创业板,20171101,广州市人民政府国有资产监督管理委员会,地方国有企业
601456.SH,601456,国联民生,江苏,证券,GLMS,主板,20200731,无锡市人民政府国有资产监督管理委员会,地方国有企业
301028.SZ,301028,鼎熔岩,福建,专用机械,DRY,创业板,20210720,韩萤焕,民营企业
603871.SH,603871,嘉友国际,北京,仓储物流,JYGJ,主板,20180206,韩景华,民营企业
002936.SZ,002936,郑州银行,河南,银行,ZZYH,主板,20180919,无实际控制人,其他
002917.SZ,002917,金奥博,深圳,化工原料,JAB,主板,20171208,明景谷,民营企业
603580.SH,603580,*ST艾艾,上海,塑料,*STAA,主板,20170525,涂木林,外资
300738.SZ,300738,奥飞数据,广东,软件服务,AFSJ,创业板,20180119,冯康,民营企业
300718.SZ,300718,长盛轴承,浙江,机械基件,CSZC,创业板,20171106,孙志华,民营企业
002864.SZ,002864,盘龙药业,陕西,中成药,PLYY,主板,20171116,谢晓林,民营企业
605158.SH,605158,华达新材,浙江,钢加工,HDXC,主板,20200805,邵明祥,民营企业
603590.SH,603590,康辰药业,北京,生物制药,KCYY,主板,20180827,刘建华,民营企业
603161.SH,603161,科华控股,江苏,汽车配件,KHKG,主板,20180105,卢红萍,民营企业
603059.SH,603059,倍加洁,江苏,日用化工,BJJ,主板,20180302,张文生,民营企业
600928.SH,600928,西安银行,陕西,银行,XAYH,主板,20190301,西安市人民政府,地方国有企业
603109.SH,603109,神驰机电,重庆,电气设备,SCJD,主板,20191231,艾纯,民营企业
300829.SZ,300829,金丹科技,河南,食品,JDKJ,创业板,20200422,张鹏,民营企业
002989.SZ,002989,中天精装,深圳,装修装饰,ZTJZ,主板,20200610,东阳市人民政府国有资产监督管理办公室,地方国有企业
002916.SZ,002916,深南电路,深圳,元器件,SNDL,主板,20171213,中国航空工业集团有限公司,中央企业
603379.SH,603379,三美股份,浙江,化工原料,SMGF,主板,20190402,胡荣达,民营企业
300721.SZ,300721,怡达股份,江苏,化工原料,YDGF,创业板,20171115,刘准,民营企业
300732.SZ,300732,设研院,河南,建筑工程,SYY,创业板,20171212,常兴文,民营企业
300733.SZ,300733,西菱动力,四川,汽车配件,XLDL,创业板,20180116,魏晓林,民营企业
300634.SZ,300634,彩讯股份,深圳,软件服务,CXGF,创业板,20180323,曾之俊,民营企业
300735.SZ,300735,光弘科技,广东,元器件,GHKJ,创业板,20171229,唐建兴,外资
002928.SZ,002928,华夏航空,贵州,空运,HXHK,主板,20180302,胡晓军,民营企业
300722.SZ,300722,新余国科,江西,航空,XYGK,创业板,20171110,江西省国有资产监督管理委员会,地方国有企业
300968.SZ,300968,格林精密,广东,元器件,GLJM,创业板,20210415,吴宝玉,民营企业
300807.SZ,300807,天迈科技,河南,软件服务,TMKJ,创业板,20191219,邝子平,外资
603949.SH,603949,雪龙集团,浙江,汽车配件,XLJT,主板,20200310,贺财霖,民营企业
603486.SH,603486,科沃斯,江苏,家用电器,KWS,主板,20180528,钱东奇,民营企业
300632.SZ,300632,光莆股份,福建,半导体,GPGF,创业板,20170406,林瑞梅,民营企业
300715.SZ,300715,凯伦股份,江苏,其他建材,KLGF,创业板,20171026,钱林弟,民营企业
601200.SH,601200,上海环境,上海,环境保护,SHHJ,主板,20170331,上海市国有资产监督管理委员会,地方国有企业
300773.SZ,300773,拉卡拉,北京,软件服务,LKL,创业板,20190425,无实际控制人,其他
300737.SZ,300737,科顺股份,广东,其他建材,KSGF,创业板,20180125,陈伟忠,民营企业
603225.SH,603225,新凤鸣,浙江,化纤,XFM,主板,20170418,庄奎龙,民营企业
002995.SZ,002995,天地在线,北京,互联网,TDZX,主板,20200805,信意安,民营企业
300725.SZ,300725,药石科技,江苏,化学制药,YSKJ,创业板,20171110,杨民民,民营企业
601990.SH,601990,南京证券,江苏,证券,NJZQ,主板,20180613,南京市国有资产投资管理控股(集团)有限责任公司,地方国有企业
603733.SH,603733,仙鹤股份,浙江,造纸,XHGF,主板,20180420,王敏良,民营企业
603897.SH,603897,长城科技,浙江,电气设备,CCKJ,主板,20180410,顾林祥,民营企业
603890.SH,603890,春秋电子,江苏,元器件,CQDZ,主板,20171212,薛革文,民营企业
603666.SH,603666,亿嘉和,江苏,专用机械,YJH,主板,20180612,朱付云,民营企业
002978.SZ,002978,安宁股份,四川,小金属,ANGF,主板,20200417,罗阳勇,民营企业
603596.SH,603596,伯特利,安徽,汽车配件,BTL,主板,20180427,袁永彬,外资
300962.SZ,300962,中金辐照,深圳,医疗保健,ZJFZ,创业板,20210409,国务院国有资产监督管理委员会,中央企业
300786.SZ,300786,国林科技,山东,环境保护,GLKJ,创业板,20190723,丁香鹏,民营企业
300848.SZ,300848,美瑞新材,山东,化工原料,MRXC,创业板,20200720,王仁鸿,民营企业
300781.SZ,300781,因赛集团,广东,广告包装,YSJT,创业板,20190606,王建朝,民营企业
002873.SZ,002873,新天药业,贵州,中成药,XTYY,主板,20170519,董大伦,民营企业
300745.SZ,300745,欣锐科技,深圳,汽车配件,XRKJ,创业板,20180523,吴壬华,民营企业
300783.SZ,300783,三只松鼠,安徽,食品,SZSS,创业板,20190712,章燎源,民营企业
300785.SZ,300785,值得买,北京,互联网,ZDM,创业板,20190715,隋国栋,民营企业
300740.SZ,300740,水羊股份,湖南,日用化工,SYGF,创业板,20180208,戴跃锋,民营企业
603477.SH,603477,巨星农牧,四川,农业综合,JXNM,主板,20171218,唐光跃,民营企业
300810.SZ,300810,中科海讯,北京,船舶,ZKHX,创业板,20191206,蔡惠智,民营企业
300724.SZ,300724,捷佳伟创,深圳,专用机械,JJWC,创业板,20180810,余仲,民营企业
300936.SZ,300936,中英科技,江苏,元器件,ZYKJ,创业板,20210126,俞卫忠,民营企业
003003.SZ,003003,天元股份,广东,广告包装,TYGF,主板,20200921,周孝伟,民营企业
300935.SZ,300935,盈建科,北京,软件服务,YJK,创业板,20210120,陈岱林,民营企业
300673.SZ,300673,佩蒂股份,浙江,饲料,PDGF,创业板,20170711,陈振标,民营企业
603105.SH,603105,芯能科技,浙江,电气设备,XNKJ,主板,20180709,张利忠,民营企业
002981.SZ,002981,朝阳科技,广东,元器件,ZYKJ,主板,20200417,郭丽勤,民营企业
301380.SZ,301380,挖金客,北京,软件服务,WJK,创业板,20221025,李征,民营企业
603722.SH,603722,阿科力,江苏,化工原料,AKL,主板,20171025,朱学军,民营企业
301469.SZ,301469,恒达新材,浙江,造纸,HDXC,创业板,20230822,潘昌,民营企业
603516.SH,603516,淳中科技,北京,IT设备,CZKJ,主板,20180202,何仕达,民营企业
300760.SZ,300760,迈瑞医疗,深圳,医疗保健,MRYL,创业板,20181016,李西廷,外资
605266.SH,605266,健之佳,云南,医药商业,JZJ,主板,20201201,蓝波,民营企业
603301.SH,603301,振德医疗,浙江,医疗保健,ZDYL,主板,20180412,鲁建国,民营企业
002931.SZ,002931,锋龙股份,浙江,机械基件,FLGF,主板,20180403,周剑,民营企业
300771.SZ,300771,智莱科技,深圳,IT设备,ZLKJ,创业板,20190422,干德义,民营企业
300644.SZ,300644,南京聚隆,江苏,塑料,NJJL,创业板,20180206,刘曙阳,民营企业
603773.SH,603773,沃格光电,江西,元器件,WGGD,主板,20180417,易伟华,民营企业
603279.SH,603279,景津装备,山东,环境保护,JJZB,主板,20190729,姜桂廷,民营企业
300749.SZ,300749,顶固集创,广东,家居用品,DGJC,创业板,20180925,林新达,民营企业
300788.SZ,300788,中信出版,北京,出版业,ZXCB,创业板,20190705,中国中信集团有限公司,中央企业
300752.SZ,300752,隆利科技,深圳,元器件,LLKJ,创业板,20181130,吴新理,民营企业
300739.SZ,300739,明阳电路,深圳,元器件,MYDL,创业板,20180201,张佩珂,民营企业
300883.SZ,300883,龙利得,安徽,造纸,LLD,创业板,20200910,徐龙平,民营企业
603700.SH,603700,宁水集团,浙江,电器仪表,NSJT,主板,20190122,张世豪,民营企业
301062.SZ,301062,上海艾录,上海,广告包装,SHAL,创业板,20210914,陈安康,民营企业
603150.SH,603150,万朗磁塑,安徽,塑料,WLCS,主板,20220124,时乾中,民营企业
603267.SH,603267,鸿远电子,北京,元器件,HYDZ,主板,20190515,郑红,民营企业
002927.SZ,002927,泰永长征,贵州,电气设备,TYCZ,主板,20180223,黄正乾,民营企业
603256.SH,603256,宏和科技,上海,玻璃,HHKJ,主板,20190719,Grace Tsu Han Wong,外资
301076.SZ,301076,新瀚新材,江苏,化工原料,XHXC,创业板,20211011,严留新,民营企业
300853.SZ,300853,申昊科技,浙江,专用机械,SHKJ,创业板,20200724,陈如申,民营企业
300747.SZ,300747,锐科激光,湖北,专用机械,RKJG,创业板,20180625,中国航天科工集团有限公司,中央企业
300741.SZ,300741,华宝股份,西藏,食品,HBGF,创业板,20180301,朱林瑶,外资
300839.SZ,300839,博汇股份,浙江,石油加工,BHGF,创业板,20200630,金碧华,民营企业
605178.SH,605178,时空科技,北京,装修装饰,SKKJ,主板,20200821,宫殿海,民营企业
603706.SH,603706,东方环宇,新疆,供气供热,DFHY,主板,20180709,李明,民营企业
603353.SH,603353,和顺石油,湖南,石油贸易,HSSY,主板,20200407,赵忠,民营企业
301035.SZ,301035,润丰股份,山东,农药化肥,RFGF,创业板,20210728,王文才,民营企业
300894.SZ,300894,火星人,浙江,家用电器,HXR,创业板,20201231,黄卫斌,民营企业
300698.SZ,300698,万马科技,浙江,通信设备,WMKJ,创业板,20170831,张德生,民营企业
603220.SH,603220,中贝通信,湖北,通信设备,ZBTX,主板,20181115,李六兵,民营企业
300751.SZ,300751,迈为股份,江苏,专用机械,MWGF,创业板,20181109,周剑,民营企业
300768.SZ,300768,迪普科技,浙江,软件服务,DPKJ,创业板,20190412,郑树生,民营企业
300915.SZ,300915,海融科技,上海,乳制品,HRKJ,创业板,20201202,黄海晓,民营企业
605098.SH,605098,行动教育,上海,文教休闲,XDJY,主板,20210421,李践,外资
603693.SH,603693,江苏新能,江苏,新型电力,JSXN,主板,20180703,江苏省人民政府,地方国有企业
002992.SZ,002992,宝明科技,深圳,元器件,BMKJ,主板,20200803,李军,民营企业
300849.SZ,300849,锦盛新材,浙江,塑料,JSXC,创业板,20200710,阮荣涛,民营企业
601869.SH,601869,长飞光纤,湖北,通信设备,CFGX,主板,20180720,无实际控制人,其他
300897.SZ,300897,山科智能,浙江,电器仪表,SKZN,创业板,20200928,无实际控制人,其他
601066.SH,601066,中信建投,北京,证券,ZXJT,主板,20180620,无实际控制人,其他
300902.SZ,300902,国安达,福建,专用机械,GAD,创业板,20201029,洪伟艺,民营企业
002942.SZ,002942,新农股份,浙江,农药化肥,XNGF,主板,20181205,徐群辉,民营企业
301018.SZ,301018,申菱环境,广东,专用机械,SLHJ,创业板,20210707,崔颖琦,民营企业
300899.SZ,300899,*ST凯鑫,上海,环境保护,*STKX,创业板,20201016,葛文越,民营企业
603681.SH,603681,永冠新材,上海,化工原料,YGXC,主板,20190326,吕新民,民营企业
603755.SH,603755,日辰股份,山东,食品,RCGF,主板,20190828,张华君,民营企业
300758.SZ,300758,七彩化学,辽宁,染料涂料,QCHX,创业板,20190222,徐惠祥,民营企业
603297.SH,603297,永新光学,浙江,元器件,YXGX,主板,20180910,曹其东,外资
300757.SZ,300757,罗博特科,江苏,专用机械,LBTK,创业板,20190108,戴军,民营企业
300694.SZ,300694,蠡湖股份,江苏,汽车配件,LHGF,创业板,20181015,泉州市人民政府国有资产监督管理委员会,地方国有企业
603650.SH,603650,彤程新材,上海,化工原料,TCXC,主板,20180627,Zhang Ning,外资
301335.SZ,301335,天元宠物,浙江,文教休闲,TYCW,创业板,20221118,薛元潮,民营企业
605088.SH,605088,冠盛股份,浙江,汽车配件,GSGF,主板,20200817,周家儒,民营企业
301258.SZ,301258,富士莱,江苏,化学制药,FSL,创业板,20220329,钱祥云,民营企业
002940.SZ,002940,昂利康,浙江,化学制药,ALK,主板,20181023,方南平,民营企业
002937.SZ,002937,兴瑞科技,浙江,元器件,XRKJ,主板,20180926,张忠良,民营企业
300759.SZ,300759,康龙化成,北京,化学制药,KLHC,创业板,20190128,Boliang Lou,外资
603629.SH,603629,利通电子,江苏,元器件,LTDZ,主板,20181224,邵树伟,民营企业
603810.SH,603810,丰山集团,江苏,农药化肥,FSJT,主板,20180917,殷凤山,民营企业
603876.SH,603876,鼎胜新材,江苏,铝,DSXC,主板,20180418,王小丽,民营企业
603527.SH,603527,众源新材,安徽,铜,ZYXC,主板,20170907,封全虎,民营企业
603713.SH,603713,密尔克卫,上海,仓储物流,MEKW,主板,20180713,陈银河,民营企业
300877.SZ,300877,金春股份,安徽,纺织,JCGF,创业板,20200824,杨迎春,民营企业
300896.SZ,300896,爱美客,北京,医疗保健,AMK,创业板,20200928,简军,民营企业
300981.SZ,300981,中红医疗,河北,医疗保健,ZHYL,创业板,20210427,厦门市人民政府国有资产监督管理委员会,地方国有企业
300753.SZ,300753,爱朋医疗,江苏,医疗保健,APYL,创业板,20181213,王凝宇,民营企业
603739.SH,603739,蔚蓝生物,山东,农业综合,WLSW,主板,20190116,黄炳亮,民营企业
603121.SH,603121,华培动力,上海,汽车配件,HPDL,主板,20190111,吴怀磊,民营企业
301226.SZ,301226,祥明智能,江苏,电气设备,XMZN,创业板,20220325,张敏,民营企业
603192.SH,603192,汇得科技,上海,化工原料,HDKJ,主板,20180828,钱建中,民营企业
300775.SZ,300775,三角防务,陕西,航空,SJFW,创业板,20190521,无实际控制人,其他
002941.SZ,002941,新疆交建,新疆,建筑工程,XJJJ,主板,20181128,新疆维吾尔自治区人民政府国有资产监督管理委员会,地方国有企业
601236.SH,601236,红塔证券,云南,证券,HTZQ,主板,20190705,中国烟草总公司,中央企业
603790.SH,603790,雅运股份,上海,染料涂料,YYGF,主板,20180912,谢兵,民营企业
603915.SH,603915,国茂股份,江苏,机械基件,GMGF,主板,20190614,徐彬,民营企业
